Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
7560453867,AN921T,NJ,PAS,02/07/2015,84,DELV,PETER,T,10810,34110,34130,,0010,10,10,356521,T102,A,0847A,,NY,F,158,8th Ave,,01/05/0001 12:00:00 PM,408,k7,,,,,WHITE,,0,,0,A 17,84-Platform lifts in low posit,,,
8030010837,94866JA,NY,COM,04/29/2015,42,DELV,INTER,T,17570,10410,25390,,0014,14,14,359330,T102,J,0412P,,NY,F,10,E 29th St,,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0800A,0700P,BROWN,,2001,445-6678,0,09 6,42-Exp. Muni-Mtr (Com. Mtr. Z),,,
8002993251,77936JY,NY,COM,10/06/2014,13,VAN,WORKH,T,45440,32910,28870,,0001,1,1,351929,T105,C,0908A,,NY,F,46,William St,,01/05/0001 12:00:00 PM,408,c2,,YYYYYYY,,,BROWN,,2008,,0,001,13-No Stand (taxi stand),,,
8014184210,T651285C,NY,OMT,03/24/2015,38,4DSD,TOYOT,T,73220,0,0,,0084,84,84,361328,T301,H,0307P,,K,I,S,Remsen St,15ft W/of Court St,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BK,,2014,,0,01 3,38-Failure to Display Muni Rec,,,
7463033090,GRD6305,NY,OMS,08/16/2014,40,4DSD,NISSA,T,24090,0,0,,113,113,113,356248,T402,L,0752A,,Q,I,W,161st St,65ft S/of 134th Ave,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,BK,,2014,,0,M 42,40-Fire Hydrant,,,
7025381809,FSW5604,NY,PAS,05/21/2015,71,SUBN,NISSA,T,74380,64520,53620,,0046,46,46,346132,T201,S,0636A,,BX,F,115,W 172nd St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BK,,2007,,0,O 21,71A-Insp Sticker Expired (NYS),,,
7982768570,75127JX,NY,COM,04/15/2015,69,VAN,CHEVR,T,34930,10810,10910,,0020,20,20,358590,T103,R,0259P,,NY,F,350,W 58th St,,01/05/0001 12:00:00 PM,408,h1,,Y,0700A,0700P,WHITE,,2007,,0,41 7,69-Failure to Disp Muni Recpt,,,
7069430346,GMZ8407,NY,PAS,11/11/2014,37,VAN,MERCU,T,13610,35090,35110,,0020,20,20,358927,T103,N,1227P,1213P,NY,F,1965,Broadway,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,1000P,WH,,2002,108-7110,0,28 7,37-Expired Muni Meter,,,
8045350957,GRP7934,NY,PAS,05/07/2015,21,SUBN,HONDA,T,51090,16590,45590,,102,102,102,358656,T402,M,0808A,,Q,F,8027,Jamaica Ave,,01/05/0001 12:00:00 PM,408,d1,,Y,0800A,0830A,BK,,2012,,0,H 42,21-No Parking (street clean),,,
7445114452,GLB5111,NY,PAS,01/21/2015,21,4DSD,HONDA,T,22240,50190,16810,,107,107,107,352969,T402,G,1047A,,Q,O,82-46,135th St,,01/05/0001 12:00:00 PM,408,d1,,Y,1030A,1200A,RD,,2013,,0,01 4,21-No Parking (street clean),,,
